Combined_Key,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20
"American Samoa, US",0,0,0,0,0,0,0,0,0,0,0
"Guam, US",1,1,1,1,1,1,1,1,2,3,3
"Northern Mariana Islands, US",0,0,0,0,0,0,0,0,0,1,1
"Puerto Rico, US",2,2,2,2,3,3,3,6,8,11,12
"Virgin Islands, US",0,0,0,0,0,0,0,0,0,0,0
"Autauga, Alabama, US",0,0,0,0,0,0,0,0,0,0,0
