Combined_Key,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20
"American Samoa, US",0,0,0,0,0,0,0,0,0,0,0
"Guam, US",29,32,37,45,51,55,56,58,69,77,82
"Northern Mariana Islands, US",0,0,0,0,0,0,0,0,2,6,6
"Puerto Rico, US",31,39,51,64,79,100,127,174,239,286,316
"Virgin Islands, US",7,17,17,17,19,22,0,0,30,30,30
"Autauga, Alabama, US",0,1,4,6,6,6,6,6,7,8,10
